algorithm,run,seed,best_x1,best_x2,best_true_f,feasible,evals
SA,0,20260437,0.8347646204562192,0.542237292705351,-0.7280544388187092,True,2000
GA,0,20260449,0.8021860675966542,0.5445759156847841,-0.6733801238141727,True,2000
NAMS,0,20260463,0.8268984650151698,0.5125871056672118,-0.7275060412074996,True,2000
SA,1,20261446,0.8297545900016096,0.5034876286874475,-0.7236832486225608,True,2000
GA,1,20261458,0.8412778330225849,0.5406030037512036,-0.7286845025198019,True,2000
NAMS,1,20261472,0.8222566969062077,0.5284884113429021,-0.7247495222161371,True,2000
SA,2,20262455,0.8374068309022334,0.5465800943670359,-0.7247448846484174,True,2000
GA,2,20262467,0.8324812310427361,0.5540532465039534,-0.715917685580649,True,2000
NAMS,2,20262481,0.8415303769241346,0.5402097969436725,-0.7288468257423553,True,2000
SA,3,20263464,0.868450026961256,0.49577671453084,-0.6738490772522792,True,2000
GA,3,20263476,0.8597022539472273,0.5107954919124258,-0.7080437811575152,True,2000
NAMS,3,20263490,0.8473192144299374,0.5190755846448712,-0.7296135796777782,True,2000
SA,4,20264473,0.48189570672948834,0.876228581955466,-0.4184452348668353,True,2000
GA,4,20264485,0.8632815521123631,0.5047226582812279,-0.6960153456649063,True,2000
NAMS,4,20264499,0.8504306421092389,0.5260871819020755,-0.7268512763061548,True,2000
SA,5,20265482,0.7908196915692297,0.6120491936326264,-0.5076070881632018,True,2000
GA,5,20265494,0.8477705742064862,0.5303631336260136,-0.7290493195484472,True,2000
NAMS,5,20265508,0.8546505143868617,0.5102369907114619,-0.7168648827680304,True,2000
SA,6,20266491,0.8271979864663909,0.558890713753294,-0.7063234765636852,True,2000
GA,6,20266503,0.8323619926009421,0.5542323639714566,-0.7156528379571985,True,2000
NAMS,6,20266517,0.8540459243012307,0.5112639175598893,-0.7183852658928038,True,2000
SA,7,20267500,0.8282579981630698,0.5603469358164674,-0.7051191051700506,True,2000
GA,7,20267512,0.8679808920722392,0.4965975946352137,-0.6760966364162627,True,2000
NAMS,7,20267526,0.8018495767907357,0.5437013656394889,-0.6730017307857183,True,2000
SA,8,20268509,0.7911627357751448,0.5393309316619697,-0.6382107249167297,True,2000
GA,8,20268521,0.8439702820139054,0.5363899356600281,-0.729804671583364,True,2000
NAMS,8,20268535,0.8660886663707289,0.4932109342941169,-0.6770917055642094,True,2000
SA,9,20269518,0.44079962527827515,0.8976055315975565,-0.3555540373738717,True,2000
GA,9,20269530,0.8291692442739902,0.558997642526424,-0.707692543650668,True,2000
NAMS,9,20269544,0.8310202437876016,0.48822958565337854,-0.706566440028465,True,2000
SA,10,20270527,0.8529460994187538,0.5210053488157846,-0.7233552100285419,True,2000
GA,10,20270539,0.8628820211878081,0.505405399170649,-0.697492056632141,True,2000
NAMS,10,20270553,0.836447241165937,0.5480474548302298,-0.7233541820544916,True,2000
SA,11,20271536,0.8461766685565526,0.5329024728695994,-0.7297038797617523,True,2000
GA,11,20271548,0.869745607021371,0.4935003334011304,-0.6673969392501669,True,2000
NAMS,11,20271562,0.8082366321386558,0.5308901722582884,-0.6970661728630065,True,2000
SA,12,20272545,0.4653403406766845,0.8851318361345428,-0.4119077606161983,True,2000
GA,12,20272557,0.8390395255190713,0.5440704684291654,-0.7267360116878071,True,2000
NAMS,12,20272571,0.8187580203830116,0.5741387498318606,-0.6708271547611978,True,2000
SA,13,20273554,0.47398490931199444,0.880532966869782,-0.4184222804569883,True,2000
GA,13,20273566,0.8446797891774992,0.5352719437398673,-0.7298733758560609,True,2000
NAMS,13,20273580,0.8671896583193707,0.4979780080524971,-0.6797805042925379,True,2000
SA,14,20274563,0.8553446132139699,0.5180594489494851,-0.7190741090293211,True,2000
GA,14,20274575,0.8621099793697187,0.5067212088230993,-0.7002498958342027,True,2000
NAMS,14,20274589,0.8233533508225459,0.5462419066814833,-0.7167519899020197,True,2000
SA,15,20275572,0.47963254378481324,0.877469442740036,-0.41900885928233395,True,2000
GA,15,20275584,0.8461200827062155,0.5329923129288331,-0.7297180943826993,True,2000
NAMS,15,20275598,0.8339795688197209,0.5517953232778186,-0.7190424721306458,True,2000
SA,16,20276581,0.8030297383998564,0.5109828338992733,-0.6792727632287894,True,2000
GA,16,20276593,0.816911844368,0.5767625495221345,-0.6626838030471012,True,2000
NAMS,16,20276607,0.8394926237218816,0.5433710838060406,-0.7272039012586432,True,2000
SA,17,20277590,0.8631374611878645,0.4482924776191865,-0.5874313556381985,True,2000
GA,17,20277602,0.8299986752940453,0.5577653619669565,-0.7099197898683292,True,2000
NAMS,17,20277616,0.8337728469055901,0.5464865501826901,-0.7243318516105435,True,2000
SA,18,20278599,0.8805793830558091,0.46051773623750825,-0.5695583306827268,True,2000
GA,18,20278611,0.8299644348870465,0.48713799680097863,-0.7042943900930161,True,2000
NAMS,18,20278625,0.8398430572729988,0.5428292909841383,-0.7275403275564856,True,2000
SA,19,20279608,0.8403616421512948,0.5103018663094928,-0.7304286816422236,True,2000
GA,19,20279620,0.868584651562603,0.49554081877265327,-0.6731953971593553,True,2000
NAMS,19,20279634,0.8137868732917533,0.5811634235376756,-0.6478944775187476,True,2000
SA,20,20280617,0.8266297618766663,0.5627461566103551,-0.7001962730925164,True,2000
GA,20,20280629,0.8357474603583901,0.5491139977313464,-0.7222383556111559,True,2000
NAMS,20,20280643,0.8710005389429,0.4754386358850407,-0.6346960221752147,True,2000
SA,21,20281626,0.8401880223293726,0.5422952029423251,-0.7278497390849146,True,2000
GA,21,20281638,0.8511295393469708,0.5249557193240333,-0.726041559526654,True,2000
NAMS,21,20281652,0.8210632753259482,0.4836072037220434,-0.6893766654370513,True,2000
SA,22,20282635,0.8668751236881169,0.49852534532429976,-0.681207707862332,True,2000
GA,22,20282647,0.825844298943497,0.5638982123597521,-0.6976750680349554,True,2000
NAMS,22,20282661,0.8458214192541516,0.5204495305336861,-0.7311557336234388,True,2000
SA,23,20283644,0.8344030306539142,0.5503853847322661,-0.7206815090016674,True,2000
GA,23,20283656,0.8444476828502973,0.49834096739640205,-0.7186063645048663,True,2000
NAMS,23,20283670,0.8646424589939232,0.5023877169128856,-0.6907311079642224,True,2000
SA,24,20284653,0.830134296649179,0.5575634937177766,-0.7102734414448684,True,2000
GA,24,20284665,0.8258529607144235,0.5638855267509718,-0.6977033843649081,True,2000
NAMS,24,20284679,0.8401340668905645,0.5363909001130399,-0.7314826255261322,True,2000
SA,25,20285662,0.8691416948101313,0.49456315505966764,-0.6704493099408854,True,2000
GA,25,20285674,0.8829791535341202,0.46941220097497327,-0.5808671458815993,True,2000
NAMS,25,20285688,0.8473178840498768,0.5310860602286974,-0.7292852963693295,True,2000
SA,26,20286671,0.5237746653006893,0.8518568541657401,-0.33351782278078096,True,2000
GA,26,20286683,0.8314651909339891,0.5555768500082641,-0.7135852913206657,True,2000
NAMS,26,20286697,0.8262234350450188,0.5633425559838431,-0.6989038103224878,True,2000
SA,27,20287680,0.8035597786799594,0.5796046626430713,-0.6278578880575165,True,2000
GA,27,20287692,0.8280691979163941,0.5606259033099522,-0.7045695027918943,True,2000
NAMS,27,20287706,0.8527989894268313,0.5114758423275312,-0.7203396436065816,True,2000
SA,28,20288689,0.8105402889541872,0.434624144519066,-0.5401962809702684,True,2000
GA,28,20288701,0.8451658831010573,0.534504097310778,-0.729865274482983,True,2000
NAMS,28,20288715,0.8385198990354998,0.5220510703870257,-0.7347231059382717,True,2000
SA,29,20289698,0.8073222958222965,0.5804297814544235,-0.6356773033372047,True,2000
GA,29,20289710,0.8394483236968724,0.5434395199491023,-0.7271597894274504,True,2000
NAMS,29,20289724,0.8295398647311095,0.5191317249186826,-0.7318582933319631,True,2000
SA,30,20290707,0.8555619514740708,0.44283244551764667,-0.5844127789154699,True,2000
GA,30,20290719,0.8617397172621517,0.5073506279615181,-0.7015278417627444,True,2000
NAMS,30,20290733,0.8492730341809022,0.5279538932645201,-0.7279790929081763,True,2000
SA,31,20291716,0.8474264734091508,0.5088654740697196,-0.7251625828463503,True,2000
GA,31,20291728,0.8213494144257679,0.5704254021539084,-0.6814774767462011,True,2000
NAMS,31,20291742,0.8573178011144038,0.5147875172266355,-0.7145667790951998,True,2000
SA,32,20292725,0.8148078287903584,0.5436006520010875,-0.7054762922237943,True,2000
GA,32,20292737,0.8178616432975643,0.5754149219672774,-0.6669298376421269,True,2000
NAMS,32,20292751,0.7941988891612988,0.5190287178491018,-0.652402283251594,True,2000
SA,33,20293734,0.8448689804256848,0.5349732758881177,-0.7298755691344267,True,2000
GA,33,20293746,0.8357273165122326,0.5491446552915384,-0.7222049740153182,True,2000
NAMS,33,20293760,0.8424934652478147,0.5387065629957831,-0.7293575757001177,True,2000
SA,34,20294743,0.815731946570739,0.5640831918259271,-0.6834187600395166,True,2000
GA,34,20294755,0.8433430575181154,0.5373755552088286,-0.7296647686856995,True,2000
NAMS,34,20294769,0.8312166837577394,0.5250989945137221,-0.7333755696589586,True,2000
SA,35,20295752,0.8643539707803609,0.5028838963381338,-0.6918841419282052,True,2000
GA,35,20295764,0.8577657793164991,0.5140407258511324,-0.71343147470537,True,2000
NAMS,35,20295778,0.8173671265874072,0.5174011050991866,-0.7165395060503801,True,2000
SA,36,20296761,0.8143280870548281,0.5804048299537354,-0.6505437417162954,True,2000
GA,36,20296773,0.8338451129791415,0.5519984851073441,-0.7187775387112838,True,2000
NAMS,36,20296787,0.823335342326401,0.5675552079544931,-0.688998992869098,True,2000
SA,37,20297770,0.8375597974967985,0.5306980555069144,-0.7340462756107071,True,2000
GA,37,20297782,0.8382751540076046,0.5452474357331054,-0.7258630471384495,True,2000
NAMS,37,20297796,0.8321682533314909,0.5202485367392317,-0.7335290101832406,True,2000
SA,38,20298779,0.506687870257424,0.8621295738657824,-0.3840251861298637,True,2000
GA,38,20298791,0.833348083237187,0.5527485614317837,-0.7177716049736835,True,2000
NAMS,38,20298805,0.8159528741788246,0.5100670562415566,-0.7107329324485713,True,2000
SA,39,20299788,0.8372455416031022,0.5468271235644115,-0.7245224689226005,True,2000
GA,39,20299800,0.8626545630603871,0.5057935397285067,-0.6983176672702525,True,2000
NAMS,39,20299814,0.842251844770208,0.5315922490807669,-0.7326119726299332,True,2000
SA,40,20300797,0.8433947422364317,0.5084537164990462,-0.7279603745437764,True,2000
GA,40,20300809,0.8133418275912686,0.5817861045869823,-0.6456890299708546,True,2000
NAMS,40,20300823,0.8576159670433945,0.4957160199839125,-0.6989976706721883,True,2000
SA,41,20301806,0.8402120187249008,0.5329246724302616,-0.732930725798814,True,2000
GA,41,20301818,0.8235264028146999,0.5072623227489945,-0.720761761649664,True,2000
NAMS,41,20301832,0.8158809332024637,0.5733945787711378,-0.6675612978923758,True,2000
SA,42,20302815,0.8402649749186223,0.5371087104692486,-0.7310818227985725,True,2000
GA,42,20302827,0.833522220505985,0.5524859345927028,-0.7181287925103608,True,2000
NAMS,42,20302841,0.825652390032584,0.5641791655436079,-0.6970447725986562,True,2000
SA,43,20303824,0.8609713282807827,0.499764830444969,-0.6967007106350087,True,2000
GA,43,20303836,0.8319327988660861,0.5548763990032739,-0.7146799596653528,True,2000
NAMS,43,20303850,0.8442353280002489,0.4813620813916001,-0.6946651583981829,True,2000
SA,44,20304833,0.8629421256377597,0.5053027684465865,-0.6972720645898607,True,2000
GA,44,20304845,0.8423424819590593,0.5389426157644726,-0.7292888840981069,True,2000
NAMS,44,20304859,0.8172928020867475,0.5742225921093277,-0.6683573893062715,True,2000
SA,45,20305842,0.47589022715305285,0.8795046854339185,-0.41894073356290384,True,2000
GA,45,20305854,0.8497550516153707,0.527177723594386,-0.7275417034088943,True,2000
NAMS,45,20305868,0.8313349941525762,0.5210273392149938,-0.7332465156057564,True,2000
SA,46,20306851,0.8303376667548296,0.5572605846174171,-0.7107981820524184,True,2000
GA,46,20306863,0.852021108656218,0.5235074310878777,-0.7248669610003703,True,2000
NAMS,46,20306877,0.8233926241300638,0.556730023949969,-0.7053547791521917,True,2000
SA,47,20307860,0.8089895458900381,0.5287112908670283,-0.6993945951841429,True,2000
GA,47,20307872,0.8487490679707358,0.5287958203492227,-0.7284026011955729,True,2000
NAMS,47,20307886,0.8656608908805207,0.4986308240609475,-0.6844896357013865,True,2000
SA,48,20308869,0.8129629463935225,0.42227440706042574,-0.4981266710753351,True,2000
GA,48,20308881,0.8730974364838674,0.4875457582681844,-0.649031266148888,True,2000
NAMS,48,20308895,0.8239683484936544,0.48128773526914176,-0.6891809726870926,True,2000
SA,49,20309878,0.8499727203275845,0.5268267027200935,-0.7273291339078631,True,2000
GA,49,20309890,0.8545797873090801,0.5193201200827551,-0.7206061570876773,True,2000
NAMS,49,20309904,0.8410937610117952,0.4571420644755408,-0.6414383956060525,True,2000
